iderroservico;idservico;titulo_servico;slug_servico;slug_categoria;siglaorgao;nome_orgao;conteudo;atendido;resolucao_erro;corrigido_erro;data_criacao_erro;data_atualizacao_erro
c84247bb-b4c0-4d4f-9887-d309f46e8c99;1024;Consultar notas e frequência de estudantes;consultar-notas-e-frequencia-de-estudantes143;educacao-e-pesquisa;SED MS;Secretaria de Estado de Educação de Mato Grosso do Sul;Não consigo ver meu boletim;False;;False;2026-05-12 14:47:25.365480-04:00;2026-05-12 14:47:25.365491-04:00
9f44e69f-d3fc-4789-ab81-25853ca1c2b2;1029;e-Fazenda - cadastro;portal-e-fazenda-cadastro135;financas-e-impostos;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;"Não consigo dar continuidade ao cadastro. 
Não recebo nenhuma mensagem de validação por email ou telefone e o site mostra uma mensagem:
ERRO - NÃO FOI POSSÍVEL ENCONTRAR O CADASTRO COM A HASH 00000000-0000-0000-0000-000000000000

POLIERG INDUSTRIA E COMERCIO LTDA
CONTATO: INDIARA.CONTABILIDADE@POLIERG.COM.BR";False;;False;2026-05-11 15:40:39.305970-04:00;2026-05-11 15:40:39.305981-04:00
b88883d2-6dbd-4527-92db-ebfebb5863e3;356;Cadastrar às vagas de emprego;intermediacao-de-empregos7;trabalho-emprego-e-previdencia;FUNTRAB;Fundação de Trabalho de Mato Grosso do Sul;Não tem vagas em campo grande,muita dificuldade em encontrar. Tem que ser mais pratico.;False;;False;2026-05-11 08:03:09.713897-04:00;2026-05-11 08:03:09.713909-04:00
4d7daca5-dee4-4808-887d-6d668752ff0a;1024;Consultar notas e frequência de estudantes;consultar-notas-e-frequencia-de-estudantes143;educacao-e-pesquisa;SED MS;Secretaria de Estado de Educação de Mato Grosso do Sul;Já fiz o email pelo site e estou tentando acessar o site para ver minhas notas mais com isso está me atrapalhando;False;;False;2026-05-10 18:07:38.972216-04:00;2026-05-10 18:07:38.972227-04:00
2e347b5f-8e6a-4803-a2d3-4445067cfa05;1024;Consultar notas e frequência de estudantes;consultar-notas-e-frequencia-de-estudantes143;educacao-e-pesquisa;SED MS;Secretaria de Estado de Educação de Mato Grosso do Sul;Eu não estou conseguindo ver a nota do meu neto;False;;False;2026-05-08 12:17:48.581252-04:00;2026-05-08 12:17:48.581271-04:00
ba9d05ba-136c-4d87-8c1f-5848de5e8f32;887;Requerer regularização de débitos / parcelamentos;requerer-regularizacao-de-debitos-parcelamentos90;administracao-publica;AEM;Agência Estadual de Metrologia de Mato Grosso do Sul;"Nada funciona, nenhum numero de contato, nem chama....já desliga.
Já mandei vários e-mail, também não respondem.
Poxa, que descaso com quer pagar!";False;;False;2026-05-08 09:38:34.289484-04:00;2026-05-08 09:38:34.289495-04:00
4c1070be-e48c-43b0-85ec-8669e364b5c0;803;Solicitar licença ambiental;licenciamento-ambiental36;meio-ambiente;IMASUL;Instituto de Meio Ambiente de Mato Grosso do Sul;Não estou conseguindo acessar o sistema eletr^nico de licenciamento, desde a semana passada.;True;http://licenciamento.imasul.ms.gov.br/licenciamento-simplificado/#/login - o link está correto;True;2026-05-06 11:21:24.220010-04:00;2026-05-12 15:32:12.646238-04:00
29b3c8a6-56ec-4cde-8428-f5a6df0036ae;356;Cadastrar às vagas de emprego;intermediacao-de-empregos7;trabalho-emprego-e-previdencia;FUNTRAB;Fundação de Trabalho de Mato Grosso do Sul;Mapa e acessar serviços não está funcionando;False;;False;2026-05-06 08:51:12.470928-04:00;2026-05-06 08:51:12.470938-04:00
37c8045f-f4ee-4dff-ba90-7e3c9570eba3;1013;Solicitar credenciamento e/ou renovação de credenciamento de laboratório;solicitar-credenciamento-eou-renovacao-de-credenciamento-de-laboratorio120;meio-ambiente;IMASUL;Instituto de Meio Ambiente de Mato Grosso do Sul;"A logomarca apresentada no formulário de credenciamento de cadastro de laboratório, disponível no link chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.imasul.ms.gov.br/wp-content/uploads/2023/01/FORMULARIO-DE-CADASTRO-DE-LABORATORIO-1.pdf   está ERRADA! 
Peço a gentileza de substituí-la pela logomarca correta.

Atenciosamente,

Eliane Ribeiro
Chefe da Unidade de Planejamento e Projetos
Instituto de Meio Ambiente de Mato Grosso do Sul
3318-6011no link está ERRADA!";False;;False;2026-05-05 09:36:29.525874-04:00;2026-05-05 09:36:29.525885-04:00
9148fe72-9130-44f6-a2c2-9aa5e2f3f668;801;Solicitar autorização ambiental para pesca profissional;emissao-de-autorizacoes-ambientais-para-a-pesca-profissional86;meio-ambiente;IMASUL;Instituto de Meio Ambiente de Mato Grosso do Sul;"A logomarca apresentada no Siriema, disponível no link https://siriema.imasul.ms.gov.br/  está ERRADA! 
Peço a gentileza de substituí-la pela logomarca correta.

Atenciosamente,

Eliane Ribeiro
Chefe da Unidade de Planejamento e Projetos
Instituto de Meio Ambiente de Mato Grosso do Sul
3318-6011no link está ERRADA!";False;;False;2026-05-05 09:30:46.289723-04:00;2026-05-05 09:30:46.289735-04:00
