idservico;titulo_servico;slug_servico;slug_categoria;nome_popular;siglaorgao;nome_orgao;servico_ativo;digital;online;agendavel;acesso_externo;custo;tempo;tipo_tempo;data_criacao_servico;data_atualizacao_servico
21;01.4 – REITORIA – ESCRITÓRIO DE REPRESENTAÇÃO EM CAMPO GRANDE;014-reitoria-escritorio-de-representacao-em-campo-grande10;educacao-e-pesquisa;;UEMS;Universidade Estadual de Mato Grosso do Sul;False;False;False;False;False;0;;Meses;2023-04-27 20:17:26.803745+00:00;2024-09-05 20:47:22.556136+00:00
1390;2ª via de certificado de conclusão de curso;2a-via-de-certificado-de-conclusao-de-curso97;educacao-e-pesquisa;Solicitar 2ª via de certificado de conclusão de curso;UEMS;Universidade Estadual de Mato Grosso do Sul;True;False;True;False;True;Sem custo;;Dias úteis;2025-05-21 15:02:20.766639+00:00;2025-09-02 02:46:40.190525+00:00
1389;2ª via do diploma;2a-via-do-diploma58;educacao-e-pesquisa;Solicitar 2ª via do diploma;UEMS;Universidade Estadual de Mato Grosso do Sul;True;False;True;False;True;Sem custo;;Dias úteis;2025-05-21 14:50:41.012601+00:00;2025-09-02 02:46:48.669633+00:00
81;Acadêmico especial;910-secretaria-academica-da-graduacao-academico-especial178;educacao-e-pesquisa;;UEMS;Universidade Estadual de Mato Grosso do Sul;False;False;False;False;False;Sem custo;;Meses;2023-04-28 04:39:17.746900+00:00;2024-09-05 20:47:15.749753+00:00
87;Acervo Maria da Glória Sá Rosa - eventos, palestras, oficinas relacionadas a temas científicos;916-unidade-universitaria-de-campo-grande-acervo-maria-da-gloria-sa-rosa-curso-de-letras-uucg-eventos-palestras-oficinas-relacionados-a-temas-culturais-e-cientificos162;educacao-e-pesquisa;;UEMS;Universidade Estadual de Mato Grosso do Sul;False;False;False;False;True;0;;Meses;2023-04-28 04:53:17.794241+00:00;2024-09-05 20:47:11.610904+00:00
5;Acessar agência virtual;agencia-virtual22;energia;Agência Virtual;MSGÁS;Companhia de Gás do Estado de Mato Grosso do Sul;True;False;False;False;True;Sem custo;;Minutos;2023-04-24 14:26:46.869924+00:00;2025-09-04 00:06:46.487030+00:00
329;Acessar agência virtual web;acessar-agencia-virtual80;empresa-industria-e-comercio;Agência virtual;SANESUL;Empresa de Saneamento de Mato Grosso do Sul;False;False;False;False;True;Sem custo;;Dias úteis;2023-05-10 19:46:18.455443+00:00;2024-09-05 20:47:41.942168+00:00
300;Acessar cursos da Escola do SUAS/MS;solicitacao-de-cursos-na-escola-do-suas-ms60;assistencia-social;"Escola do SUAS/MS ""Mariluce Bittar""";SEAD;Secretaria de Estado de Assistência Social e Direitos Humanos;True;False;False;False;True;Sem custo;;Dias úteis;2023-05-10 17:01:45.426232+00:00;2025-10-24 23:19:21.717494+00:00
561;Acessar dados do portal da transparência;acessar-dados-do-portal-da-transparencia171;comunicacao-e-transparencia;Portal da Transparência;CGE MS;Controladoria Geral do Estado de Mato Grosso do Sul;True;False;False;False;True;Sem custo;;Minutos;2023-05-17 14:05:13.822722+00:00;2025-10-02 14:59:17.134450+00:00
1359;Acessar delegacia virtual;delegacia-virtual188;direitos-e-cidadania;Delegacia virtual;SETESC;Secretaria de Estado de Turismo, Esporte e Cultura;True;False;True;False;True;Sem custo;;Dias corridos;2025-04-29 14:15:45.398400+00:00;2025-04-29 19:17:12.445490+00:00
640;Acessar gratuitamente programas da TV educativa (Portal da Educativa);acessar-gratuitamente-programas-da-tv-educativa-portal-da-educativa175;educacao-e-pesquisa;Streaming ao vivo - TV;FERTEL - Educativa MS;Fundação Estadual Jornalista Luiz Chagas de Rádio e Televisão;True;False;False;False;True;Sem custo;;Minutos;2023-05-26 13:59:53.348210+00:00;2025-12-19 11:26:39.084157+00:00
620;Acessar indicadores da atividade turística do Mato Grosso Do Sul;acessar-indicadores-da-atividade-turistica-do-mato-grosso-do-sul141;turismo;Observatório do Turismo de Mato Grosso do Sul;FUNDTUR;Fundação de Turismo de Mato Grosso do Sul;True;True;False;False;True;Sem custo;;Minutos;2023-05-22 20:18:27.719070+00:00;2025-12-19 19:19:38.756369+00:00
639;Acessar notícias em tempo real gratuitamente (Portal da Educativa);acessar-noticias-em-tempo-real-gratuitamente-portal-da-educativa128;comunicacao-e-transparencia;Portal da Educativa;FERTEL - Educativa MS;Fundação Estadual Jornalista Luiz Chagas de Rádio e Televisão;True;False;False;False;True;Sem custo;;Minutos;2023-05-26 13:58:00.551712+00:00;2025-12-19 11:27:27.626402+00:00
4;Acessar o aplicativo MSGÁS (acompanhamento do consumo, emissão de 2ª via de fatura);plicativo-msgas-acompanhamento-do-consumo-emissao-de-2a-via-de-fatura116;energia;Aplicativo MSGÁS;MSGÁS;Companhia de Gás do Estado de Mato Grosso do Sul;True;True;False;False;True;Sem custo;;Minutos;2023-04-24 14:24:52.584723+00:00;2025-09-04 00:05:00.246341+00:00
82;Acessar os cursos por quem já é graduado;911-secretaria-academica-da-graduacao-portador-de-diploma31;educacao-e-pesquisa;;UEMS;Universidade Estadual de Mato Grosso do Sul;True;False;False;False;False;Sem custo;;Meses;2023-04-28 04:41:30.039833+00:00;2025-09-02 18:49:40.814169+00:00
282;Acessar os dados estatísticos online;estatisticas-online118;comunicacao-e-transparencia;Solicitar acesso a dados estatísticos online;SEJUSP;Secretaria de Estado de Justiça e Segurança Pública de Mato Grosso do Sul;True;True;False;False;True;Sem custo;;Minutos;2023-05-10 11:48:50.531125+00:00;2025-07-04 13:38:21.522607+00:00
845;Acessar plataforma de inteligência turística de Mato Grosso do Sul;plataforma-de-inteligencia-turistica-de-mato-grosso-do-sul12;turismo;Alumia;FUNDTUR;Fundação de Turismo de Mato Grosso do Sul;True;True;False;False;True;Sem custo;;Minutos;2023-08-02 16:30:05.171564+00:00;2025-10-28 15:58:06.361922+00:00
16;Acessar portal da transparência da MSGÁS;acessar-portal-da-transparencia-da-msgas141;comunicacao-e-transparencia;acesso ao portal da transparência da msgás;MSGÁS;Companhia de Gás do Estado de Mato Grosso do Sul;True;True;False;False;True;Sem custo;;Minutos;2023-04-25 12:04:42.543624+00:00;2025-09-04 00:04:08.288071+00:00
642;Acessar site para ouvir a rádio educativa fm 104,7 de forma gratuita (Portal da Educativa);acessar-site-para-ouvir-a-radio-educativa-fm-1047-de-forma-gratuita-portal-da-educativa85;comunicacao-e-transparencia;Streaming ao vivo - Rádio;FERTEL - Educativa MS;Fundação Estadual Jornalista Luiz Chagas de Rádio e Televisão;True;False;False;False;True;Sem custo;;Minutos;2023-05-26 14:09:57.242694+00:00;2025-12-19 11:28:08.404931+00:00
41;Acessibilidade para alunos com deficiência, transtorno global de desenvolvimento, altas habilidades ou superdotação;055-proec-acessibilidade-para-alunos-com-deficiencia-transtorno-global-de-desenvolvimento-altas-habilidades-ou-superdotacao51;educacao-e-pesquisa;;UEMS;Universidade Estadual de Mato Grosso do Sul;False;False;False;False;True;Sem custo;;Anos;2023-04-27 21:10:48.740970+00:00;2024-09-05 20:47:28.236603+00:00
530;Acompanhar os resultados do Prêmio Sul-Mato-Grossense de Inovação na Gestão Pública;acompanhar-os-resultados-do-premio-sul-mato-grossense-de-inovacao-na-gestao-publica76;educacao-e-pesquisa;Prêmio Sul-Mato-Grossense de Inovação;ESCOLAGOV;Fundação Escola de Governo;False;False;False;False;True;Sem custo;;Minutos;2023-05-15 18:21:29.992648+00:00;2025-10-31 18:09:55.489816+00:00
2;Aderir à fatura de consumo online;adesao-a-fatura-on-line36;energia;ADESÃO À FATURA ON-LINE;MSGÁS;Companhia de Gás do Estado de Mato Grosso do Sul;True;False;False;False;True;Sem custo;;Minutos;2023-04-24 14:20:25.268584+00:00;2025-09-04 00:05:47.884407+00:00
648;Aderir ao cadastro de fornecedores;cadastro-de-fornecedores36;administracao-publica;(E-Fornecedor);SAD;Secretaria de Estado de Administração de Mato Grosso do Sul;True;False;False;False;True;Sem custo;;Dias úteis;2023-05-26 17:37:24.691361+00:00;2025-11-17 17:29:13.060846+00:00
3;Aderir ao débito automático da fatura de consumo;adesao-ao-debito-automatico163;energia;ADESÃO AO DÉBITO AUTOMÁTICO;MSGÁS;Companhia de Gás do Estado de Mato Grosso do Sul;True;False;False;False;True;Sem custo;;Minutos;2023-04-24 14:22:21.654927+00:00;2025-09-04 00:05:38.370966+00:00
1426;Aderir ao PACPOA-MS;aderir-ao-pacpoa-ms41;agropecuaria-e-vida-rural;Aderir ao PACPOA-MS;IAGRO;Agência Estadual de Defesa Sanitária Animal Vegetal  Mato Grosso do Sul;True;False;False;False;False;Sem custo;;Dias corridos;2025-08-12 20:32:26.154917+00:00;2026-04-29 18:26:28.173271+00:00
194;Aderir ao PECOMS;requerimento-de-adesao-ao-pecoms-iagro7;agropecuaria-e-vida-rural;Requerimento de adesão ao PECOMS;IAGRO;Agência Estadual de Defesa Sanitária Animal Vegetal  Mato Grosso do Sul;True;False;False;False;False;Sem custo;;Dias corridos;2023-05-08 14:18:16.527542+00:00;2026-04-29 18:26:20.799868+00:00
568;Aderir ao programa de verticalização da produção agropecuária do estado do MS;programa-de-verticalizacao-da-producao-agropecuaria-do-estado-de-mato-grosso-do-sul12;agropecuaria-e-vida-rural;PROVE - Pantanal - Programa de Verticalização da Produção Agropecuária do Estado de Mato Grosso do Sul;AGRAER;Agência de Desenvolvimento Agrário e Extensão Rural de Mato Grosso do Sul;True;False;False;False;False;Sem custo;;Dias corridos;2023-05-17 18:09:12.610121+00:00;2026-03-27 12:38:43.262387+00:00
93;Agenda de gerência;120-unidade-universitaria-de-ivinhema-agenda-da-gerencia132;educacao-e-pesquisa;;UEMS;Universidade Estadual de Mato Grosso do Sul;False;False;False;False;False;Sem custo;;Meses;2023-04-28 05:09:32.239654+00:00;2024-09-05 20:47:20.026129+00:00
682;Agendar o atendimento presencial;agendar-atendimento-presencial153;trabalho-emprego-e-previdencia;Agenda para atendimento;AGEPREV;Agência de Previdência Social de Mato Grosso do Sul;True;True;False;True;False;Sem custo;0.0;Minutos;2023-05-30 19:43:15.885111+00:00;2025-10-24 23:26:20.399943+00:00
