id_voto;idservico;titulo_servico;slug_servico;slug_categoria;siglaorgao;nome_orgao;data_voto;avaliacao_voto_servico
2842;1022;Emitir certificado do ensino médio;emitir-certificado-de-conclusao-do-ensino-medio111;educacao-e-pesquisa;SED MS;Secretaria de Estado de Educação de Mato Grosso do Sul;2026-05-27 17:51:49.407516+00:00;1
2841;302;Solicitar inclusão no Programa Mais Social;solicitacao-de-inclusao-no-programa-mais-social118;assistencia-social;SEAD;Secretaria de Estado de Assistência Social e Direitos Humanos;2026-05-27 16:09:41.870916+00:00;1
2840;462;Solicitar inscrição para participação nos programas habitacionais;inscricaocadastro67;habitacao;AGEHAB;Agência de Habitação Popular de Mato Grosso do Sul;2026-05-27 15:14:31.431546+00:00;2
2839;1434;Receber apoio para emitir o contracheque (aposentado ou pensionista);receber-apoio-para-emitir-o-contracheque-aposentado-ou-pensionista12;trabalho-emprego-e-previdencia;AGEPREV;Agência de Previdência Social de Mato Grosso do Sul;2026-05-27 13:48:24.066913+00:00;1
2838;1020;IPVA - consulta de débito;ipva-consulta-de-debito54;financas-e-impostos;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;2026-05-27 13:35:26.652196+00:00;3
2837;1434;Receber apoio para emitir o contracheque (aposentado ou pensionista);receber-apoio-para-emitir-o-contracheque-aposentado-ou-pensionista12;trabalho-emprego-e-previdencia;AGEPREV;Agência de Previdência Social de Mato Grosso do Sul;2026-05-26 19:08:44.683315+00:00;5
2836;302;Solicitar inclusão no Programa Mais Social;solicitacao-de-inclusao-no-programa-mais-social118;assistencia-social;SEAD;Secretaria de Estado de Assistência Social e Direitos Humanos;2026-05-26 18:57:46.537275+00:00;3
2835;1024;Consultar notas e frequência de estudantes;consultar-notas-e-frequencia-de-estudantes143;educacao-e-pesquisa;SED MS;Secretaria de Estado de Educação de Mato Grosso do Sul;2026-05-26 16:40:52.658792+00:00;2
2834;5;Acessar agência virtual;agencia-virtual22;energia;MSGÁS;Companhia de Gás do Estado de Mato Grosso do Sul;2026-05-25 20:20:19.105519+00:00;2
2833;1372;Processo Seletivo Permanente - Notas do ENEM - Vagas Remanescentes;processo-seletivo-permanente-notas-do-enem-vagas-remanescentes60;educacao-e-pesquisa;UEMS;Universidade Estadual de Mato Grosso do Sul;2026-05-25 12:57:46.705146+00:00;3
2832;795;Fazer o recenseamento previdenciário;censo-previdenciario128;trabalho-emprego-e-previdencia;AGEPREV;Agência de Previdência Social de Mato Grosso do Sul;2026-05-24 22:59:35.414725+00:00;1
2831;125;Solicitar carteira de identidade;expedicao-de-carteira-de-identidade127;direitos-e-cidadania;CGP;Coordenadoria Geral de Perícias de Mato Grosso do Sul;2026-05-24 21:56:44.986143+00:00;1
2830;1339;Fazer transferência digital de veículo;fazer-transferencia-digital-de-veiculo196;transito-e-transportes;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;2026-05-24 21:46:28.862460+00:00;4
2829;446;Participar do programa mulher segura (PROMUSE);172-promuse-programa-mulher-segura14;seguranca;PMMS;Polícia Militar de Mato Grosso do Sul;2026-05-24 21:16:51.807752+00:00;4
2828;1152;Solicitar bloqueio de ligação de telemarketing;solicitar-bloqueio-de-ligacao-de-telemaketing22;direitos-e-cidadania;SEAD;Secretaria de Estado de Assistência Social e Direitos Humanos;2026-05-24 05:48:41.629028+00:00;4
2827;1457;Emitir, no formato digital, a Carteira de Identificação da Pessoa com Transtorno do Espectro Autista;emitir-no-formato-digital-a-carteira-de-identificacao-da-pessoa-com-transtorno-do-espectro-autista63;assistencia-social;SEAD;Secretaria de Estado de Assistência Social e Direitos Humanos;2026-05-24 03:39:39.954868+00:00;1
2826;1024;Consultar notas e frequência de estudantes;consultar-notas-e-frequencia-de-estudantes143;educacao-e-pesquisa;SED MS;Secretaria de Estado de Educação de Mato Grosso do Sul;2026-05-23 20:21:56.011148+00:00;3
2825;1092;Solicitar agendamento do Cine Pet;cine-pet158;esporte-e-lazer;SETESC;Secretaria de Estado de Turismo, Esporte e Cultura;2026-05-23 10:27:55.555765+00:00;5
2824;1024;Consultar notas e frequência de estudantes;consultar-notas-e-frequencia-de-estudantes143;educacao-e-pesquisa;SED MS;Secretaria de Estado de Educação de Mato Grosso do Sul;2026-05-23 02:42:45.966910+00:00;3
2823;786;Solicitar Carteira de Visitante do Sistema Prisional;patronato138;direitos-e-cidadania;AGEPEN;Agência Estadual de Administração do Sistema Penitenciário;2026-05-22 23:04:54.000244+00:00;5
2822;1518;Apresentar monitoramento de outorga de recursos hídricos;apresentar-monitoramento-de-outorga-de-recursos-hidricos182;meio-ambiente;IMASUL;Instituto de Meio Ambiente de Mato Grosso do Sul;2026-05-22 18:56:04.278121+00:00;3
2821;188;ICMS - isenção na aquisição de automóvel novo de passageiros para taxista;icms-isencao-na-aquisicao-de-automovel-novo-de-passageiros-para-taxista54;financas-e-impostos;SEFAZ MS;Secretaria de Estado de Fazenda de Mato Grosso do Sul;2026-05-22 17:14:16.991940+00:00;5
2820;302;Solicitar inclusão no Programa Mais Social;solicitacao-de-inclusao-no-programa-mais-social118;assistencia-social;SEAD;Secretaria de Estado de Assistência Social e Direitos Humanos;2026-05-22 16:45:38.942365+00:00;5
