Destino;Cliques;Usuários
MS.gov;4969;3772
Nota MS Premiada;3702;2518
Diário Oficial;3296;976
Painel do Aluno;3131;1314
Licenciamento e Multas;2163;1237
Baixar CRLV;1583;836
Estoque de Sangue - Hemosul;1548;1209
Boleto habitacional;1087;848
MS Qualifica;703;486
IPVA;638;477
Emissão de Certificados de Eventos da SES;426;387
Exames LACEN;425;327
Exames;390;241
Outros;390;267
Autorização de Pesca (Solicitação);351;148
Lista de Eventos;313;283
Agendamento de RG;265;172
Antecedentes Criminais;231;178
Estoque de Medicamento Especializado;222;208
Caminho Certo;212;186
Agendamento;198;113
Painel de Brucelose de MS;192;181
CIPTEA;154;106
B.O. Sem Vítimas;152;124
B.O. Online;142;81
MS Supera;134;111
Reclamação On-line;111;50
VisitMS;90;85
Consulta de Processos;85;73
Credenciamento;83;61
Delegacia Virtual;81;48
Educação;59;47
Horários e Tarifas;46;36
Turismo;45;43
Boletins;41;35
WhatsApp;33;30
Agrotóxico;32;20
Observatório de Turismo;31;30
Denúncia;30;22
Protetivas Online;30;29
Certificado de Vistoria;26;25
Animal Identificado;24;20
Cadastro de Produtor;20;19
Carta de Serviço;20;19
Denúncias Online;20;17
Procons Municipais;20;20
LGPD;17;16
Documento de Trânsito;16;15
Fale Conosco;14;10
Eventos;12;10
