Cidade;Visitas
Campo Grande;87343
Dourados;21419
Três Lagoas;5219
Rio Brilhante;4350
Ponta Porã;3787
Bataiporã;3663
Rio Verde de Mato Grosso;3548
Naviraí;3365
Terenos;3337
Aquidauana;2943
Ivinhema;2869
Caarapó;2762
Ladário;2673
Ribas do Rio Pardo;2594
Guia Lopes da Laguna;2523
Jardim;2481
Cassilândia;2443
Glória de Dourados;2424
Paranaíba;2365
Maracaju;2264
Sidrolândia;2169
Coxim;1819
Amambai;1639
Santa Rita do Pardo;1628
Bonito;1591
Paraíso das Águas;1389
Coronel Sapucaia;1302
Aparecida do Taboado;1140
Corumbá;968
Porto Murtinho;893
Eldorado;866
Paranhos;782
Camapuã;771
Nova Andradina;619
Bela Vista;604
Angélica;489
Chapadão do Sul;391
Santo Antônio;345
Anastácio;330
