titulo_servico;siglaorgao;nome_orgao;categoria;url
2ª via de certificado de conclusão de curso;UEMS;Universidade Estadual de Mato Grosso do Sul;Educação e Pesquisa;https://www.ms.gov.br/educacao-e-pesquisa/2a-via-de-certificado-de-conclusao-de-curso97
2ª via do diploma;UEMS;Universidade Estadual de Mato Grosso do Sul;Educação e Pesquisa;https://www.ms.gov.br/educacao-e-pesquisa/2a-via-do-diploma58
Acessar agência virtual;MSGÁS;Companhia de Gás do Estado de Mato Grosso do Sul;Energia;https://www.ms.gov.br/energia/agencia-virtual22
Acessar cursos da Escola do SUAS/MS;SEAD;Secretaria de Estado de Assistência Social e Direitos Humanos;Assistência Social;https://www.ms.gov.br/assistencia-social/solicitacao-de-cursos-na-escola-do-suas-ms60
Acessar dados do portal da transparência;CGE MS;Controladoria Geral do Estado de Mato Grosso do Sul;Comunicação e Transparência;https://www.ms.gov.br/comunicacao-e-transparencia/acessar-dados-do-portal-da-transparencia171
Acessar delegacia virtual;SETESC;Secretaria de Estado de Turismo, Esporte e Cultura;Direitos e Cidadania;https://www.ms.gov.br/direitos-e-cidadania/delegacia-virtual188
Acessar gratuitamente programas da TV educativa (Portal da Educativa);FERTEL - Educativa MS;Fundação Estadual Jornalista Luiz Chagas de Rádio e Televisão;Educação e Pesquisa;https://www.ms.gov.br/educacao-e-pesquisa/acessar-gratuitamente-programas-da-tv-educativa-portal-da-educativa175
Acessar indicadores da atividade turística do Mato Grosso Do Sul;FUNDTUR;Fundação de Turismo de Mato Grosso do Sul;Turismo;https://www.ms.gov.br/turismo/acessar-indicadores-da-atividade-turistica-do-mato-grosso-do-sul141
Acessar notícias em tempo real gratuitamente (Portal da Educativa);FERTEL - Educativa MS;Fundação Estadual Jornalista Luiz Chagas de Rádio e Televisão;Comunicação e Transparência;https://www.ms.gov.br/comunicacao-e-transparencia/acessar-noticias-em-tempo-real-gratuitamente-portal-da-educativa128
Acessar o aplicativo MSGÁS (acompanhamento do consumo, emissão de 2ª via de fatura);MSGÁS;Companhia de Gás do Estado de Mato Grosso do Sul;Energia;https://www.ms.gov.br/energia/plicativo-msgas-acompanhamento-do-consumo-emissao-de-2a-via-de-fatura116
Acessar os cursos por quem já é graduado;UEMS;Universidade Estadual de Mato Grosso do Sul;Educação e Pesquisa;https://www.ms.gov.br/educacao-e-pesquisa/911-secretaria-academica-da-graduacao-portador-de-diploma31
Acessar os dados estatísticos online;SEJUSP;Secretaria de Estado de Justiça e Segurança Pública de Mato Grosso do Sul;Comunicação e Transparência;https://www.ms.gov.br/comunicacao-e-transparencia/estatisticas-online118
Acessar plataforma de inteligência turística de Mato Grosso do Sul;FUNDTUR;Fundação de Turismo de Mato Grosso do Sul;Turismo;https://www.ms.gov.br/turismo/plataforma-de-inteligencia-turistica-de-mato-grosso-do-sul12
Acessar portal da transparência da MSGÁS;MSGÁS;Companhia de Gás do Estado de Mato Grosso do Sul;Comunicação e Transparência;https://www.ms.gov.br/comunicacao-e-transparencia/acessar-portal-da-transparencia-da-msgas141
Acessar site para ouvir a rádio educativa fm 104,7 de forma gratuita (Portal da Educativa);FERTEL - Educativa MS;Fundação Estadual Jornalista Luiz Chagas de Rádio e Televisão;Comunicação e Transparência;https://www.ms.gov.br/comunicacao-e-transparencia/acessar-site-para-ouvir-a-radio-educativa-fm-1047-de-forma-gratuita-portal-da-educativa85
Aderir ao PACPOA-MS;IAGRO;Agência Estadual de Defesa Sanitária Animal Vegetal  Mato Grosso do Sul;Agropecuária e Vida Rural;https://www.ms.gov.br/agropecuaria-e-vida-rural/aderir-ao-pacpoa-ms41
Aderir ao PECOMS;IAGRO;Agência Estadual de Defesa Sanitária Animal Vegetal  Mato Grosso do Sul;Agropecuária e Vida Rural;https://www.ms.gov.br/agropecuaria-e-vida-rural/requerimento-de-adesao-ao-pecoms-iagro7
Aderir ao cadastro de fornecedores;SAD;Secretaria de Estado de Administração de Mato Grosso do Sul;Administração Pública;https://www.ms.gov.br/administracao-publica/cadastro-de-fornecedores36
Aderir ao débito automático da fatura de consumo;MSGÁS;Companhia de Gás do Estado de Mato Grosso do Sul;Energia;https://www.ms.gov.br/energia/adesao-ao-debito-automatico163
Aderir ao programa de verticalização da produção agropecuária do estado do MS;AGRAER;Agência de Desenvolvimento Agrário e Extensão Rural de Mato Grosso do Sul;Agropecuária e Vida Rural;https://www.ms.gov.br/agropecuaria-e-vida-rural/programa-de-verticalizacao-da-producao-agropecuaria-do-estado-de-mato-grosso-do-sul12
Aderir à fatura de consumo online;MSGÁS;Companhia de Gás do Estado de Mato Grosso do Sul;Energia;https://www.ms.gov.br/energia/adesao-a-fatura-on-line36
Agendar o atendimento presencial;AGEPREV;Agência de Previdência Social de Mato Grosso do Sul;Trabalho, Emprego e Previdência;https://www.ms.gov.br/trabalho-emprego-e-previdencia/agendar-atendimento-presencial153
Alterar espécie do veículo para coleção - Mesmo proprietário;DETRAN;Departamento Estadual de Trânsito de Mato Grosso do Sul;Trânsito e Transportes;https://www.ms.gov.br/transito-e-transportes/veiculos-de-colecao39
Alterar registro de empresa comerciante de agrotóxico e prestador de serviço;IAGRO;Agência Estadual de Defesa Sanitária Animal Vegetal  Mato Grosso do Sul;Agropecuária e Vida Rural;https://www.ms.gov.br/agropecuaria-e-vida-rural/alterar-registro-de-empresa-comerciante-de-agrotoxico-e-prestador-de-servico103
Analisar processos de segurança contra incêndio e pânico PSCIP;CBMMS;Corpo de Bombeiros Militar;Segurança;https://www.ms.gov.br/seguranca/analisar-processos-de-seguranca-contra-incendio-e-panico-pscip16
